State,FIPS,County,squarekm,squaremi,Latitude,Longitude,CS1971,CS1981,CS1991,CS2001,CS2011,CS2019,CH1971,CH1981,CH1991,CH2001,CH2011,CH2019,GE1971,GE1981,GE1991,GE2001,GE2011,GE2019,ME1971,ME1981,ME1991,ME2001,ME2011,ME2019,PG1971,PG1981,PG1991,PG2001,PG2011,PG2019,PN1971,PN1981,PN1991,PN2001,PN2011,PN2019,RE1971,RE1981,RE1991,RE2001,RE2011,RE2019,SB1971,SB1981,SB1991,SB2001,SB2011,SB2019,SY1971,SY1981,SY1991,SY2001,SY2011,SY2019,ZI1971,ZI1981,ZI1991,ZI2001,ZI2011,ZI2019
CA,6045,Mendocino,9081.386,3506.343,39.432,-123.443,350,928,1389,2418,2442,3271,152,986,3585,4708,4767,4466,17,270,266,195,223,161,0,62,324,1745,1583,1320,0,0,0,52,145,103,116,322,723,1869,2667,2783,92,382,198,42,68,60,44,509,851,729,766,724,0,0,112,451,700,588,728,1341,1846,1898,1952,1820
CA,6047,Merced,5011.555,1934.972,37.195,-120.723,43,112,164,949,1591,1847,20,21,534,2696,2437,3189,0,0,12,0,0,0,0,13,1,1953,2083,1561,0,0,0,148,209,631,0,0,0,14,922,922,0,0,0,0,500,846,198,721,778,319,90,165,0,0,0,338,337,130,425,102,642,1237,1442,885
CA,6049,Modoc,10146.977,3917.77,41.593,-120.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,6051,Mono,7896.827,3048.982,37.916,-118.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,6053,Monterey,8496.703,3280.595,36.240,-121.316,1345,4212,3691,5478,4389,5122,424,3491,9816,18170,17077,17160,100,996,712,629,636,789,174,359,685,5462,5580,4219,0,0,0,386,1521,1246,427,1856,1568,3687,8721,11014,288,3563,2150,1155,2229,1523,259,1337,1465,1226,1002,1085,0,4,2,1202,1761,1203,475,2343,1783,298,84,149
CA,6055,Napa,1938.247,748.362,38.507,-122.326,2684,5463,9768,15680,19477,21943,752,4827,9989,8209,7169,6776,191,526,109,19,15,13,168,733,2563,7516,5986,4439,0,0,0,166,241,138,1025,2289,2636,2849,2988,2729,564,1430,388,152,133,80,390,2150,2827,2045,2750,2596,0,35,26,780,1006,759,783,2135,2179,1749,1471,1386
CA,6057,Nevada,2480.617,957.772,39.295,-120.773,0,3,24,104,96,172,0,5,60,63,53,78,0,0,0,0,0,0,0,0,10,28,34,50,0,0,0,2,2,3,0,5,3,4,0,0,0,2,0,2,2,2,0,4,7,6,11,14,0,0,0,40,65,93,0,4,2,13,29,33
CA,6059,Orange,2047.561,790.568,33.676,-117.777,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,6061,Placer,3644.136,1407.009,39.062,-120.723,0,5,0,3,4,12,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,5,6,6,0,0,0,1,25,22,159,24,22,31,52,37
CA,6063,Plumas,6612.351,2553.043,39.995,-120.830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,6065,Riverside,18664.697,7206.48,33.730,-116.002,72,211,99,201,188,205,32,315,1165,981,105,102,0,16,4,10,20,11,1,5,14,171,70,73,0,0,0,6,8,14,5,5,0,3,12,13,66,590,127,32,41,36,69,269,248,101,49,51,0,3,0,28,55,83,193,131,97,53,52,56
CA,6067,Sacramento,2498.416,964.644,38.450,-121.340,7,520,1076,3406,3280,4858,0,32,804,5142,4734,4914,0,0,0,20,62,62,0,98,352,3374,3110,3191,0,0,0,339,1192,1656,0,0,0,208,1427,2435,0,221,55,67,93,72,0,231,338,1005,1284,1294,0,0,0,862,1068,927,30,432,348,1077,1369,1054
CA,6069,San Benito,3596.742,1388.71,36.611,-121.085,530,509,295,672,198,416,896,979,459,1337,907,571,258,262,39,63,3,0,0,0,68,445,276,207,0,0,0,3,99,62,749,764,196,372,565,694,434,327,233,50,120,105,25,15,1,33,82,82,0,0,0,39,56,58,208,204,23,82,69,60
